config,signal,horizon_bars,n_events,mean_bp,se_bp,t_stat,ci95_lo_bp,ci95_hi_bp
bar15m_delta25,H3,1,6,-7.110882648660256,14.034529661047996,-0.5066705347736796,-34.50349821969365,20.511858051614503
bar15m_delta25,H3,3,6,-37.43787696632159,17.55365803551299,-2.1327678191394996,-74.19779339141158,-5.387453892200669
bar15m_delta25,H3,6,6,-33.30844674039884,19.399264870120813,-1.7169953069562582,-72.50858684024537,3.536531450628216
bar15m_delta25,H3,12,6,-77.645770774892,37.22880048341596,-2.085637188592211,-159.0374724886931,-13.100574593702538
bar15m_delta25,H3,48,6,-90.10644850030302,54.334452635115504,-1.6583667292171935,-198.45994456778067,14.531109761872125
bar15m_delta25,H6,1,90,-4.553794013669796,3.9808762521716563,-1.1439175008732312,-12.450746054044055,3.154288854468838
bar15m_delta25,H6,3,90,-1.7791483531446879,6.192340960829037,-0.2873143395040853,-14.29827952839196,9.975697038057868
bar15m_delta25,H6,6,90,-7.149708801023039,7.040001183898753,-1.0155834657208864,-21.396662468416462,6.200142172466651
bar15m_delta25,H6,12,90,-10.07153237382657,9.632641836534807,-1.0455628419222578,-29.33118331028123,8.428772688935213
bar15m_delta25,H6,48,90,-9.917690758960498,15.76138032345799,-0.6292399875789935,-41.06070620659789,20.723904661357423
